2017-11-29 16:51:20,079 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 16:51:25,755 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:51:25,762 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 16:51:25,771 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:51:25,816 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 16:53:54,658 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Arc:ARCTests:0.0.1-SNAPSHOT @ C:\Users\Group10\git\Arc\ARCProject\pom.xml.
2017-11-29 16:53:56,730 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:53:56,736 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-29 16:53:56,738 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:53:56,741 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-29 16:54:02,454 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:54:02,467 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 16:54:02,520 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:54:02,568 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 16:54:04,787 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:54:04,886 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 16:54:04,901 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:54:05,383 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 16:55:02,381 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:55:02,383 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 16:55:02,433 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:55:02,439 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 16:55:04,365 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:55:04,372 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 16:55:04,378 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:55:05,124 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 16:56:20,327 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Arc:ARCTests:0.0.1-SNAPSHOT @ C:\Users\Group10\git\Arc\ARCProject\pom.xml.
2017-11-29 16:56:22,062 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:56:22,067 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-29 16:56:22,070 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:56:22,072 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-29 16:59:19,274 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Arc:ARCTests:0.0.1-SNAPSHOT @ C:\Users\Group10\git\Arc\ARCProject\pom.xml.
2017-11-29 16:59:21,010 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:59:21,015 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-29 16:59:21,018 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:59:21,020 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-29 16:59:46,905 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:59:46,907 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 16:59:46,956 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:59:46,959 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 16:59:48,844 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:59:48,851 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 16:59:48,858 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 16:59:49,157 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 17:02:25,937 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @1135219ms
2017-11-29 17:02:26,118 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-11-29 17:02:26,185 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@22843506{/help,null,AVAILABLE}
2017-11-29 17:02:26,208 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@44ae8b1a{HTTP/1.1}{127.0.0.1:53001}
2017-11-29 17:02:26,209 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @1135491ms
2017-11-29 17:02:37,720 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 17:02:37,727 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 17:02:37,733 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 17:02:37,735 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-29 17:04:03,274 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Group10\git\Arc\ARCProject
2017-11-29 17:04:03,275 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-11-29 17:04:07,185 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 17:04:07,191 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 13 resources
2017-11-29 17:04:07,250 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 17:04:07,287 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 65 resources
2017-11-29 17:04:09,044 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-29 17:04:09,047 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
